County_Name,FIPS,Incidence,Mortality,Population_2010,UIC_2013,Description,State,Counts_Incidence,Counts_Mortality,state_c,RUCC_2013,descriptionRUCC
McDonald County,29119,361.20000000000000,204.50000000000000,23083,2,Small-in a metro area with fewer than 1 million residents,MO,90,50,0,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Macon County,29121,427.20000000000000,148.30000000000000,15566,9,"Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",MO,94,36,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Madison County,29123,508.40000000000000,215.80000000000000,12226,6,"Noncore adjacent to a small metro with town of at least 2,500 residents",MO,84,37,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Maries County,29125,352.80000000000000,179.10000000000000,9176,7,"Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",MO,44,23,0,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Marion County,29127,492.30000000000000,185.00000000000000,28781,8,Micropolitan not adjacent to a metro area,MO,175,69,0,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
Mercer County,29129,400.90000000000000,186.80000000000000,3785,12,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",MO,21,11,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Miller County,29131,436.10000000000000,195.70000000000000,24748,6,"Noncore adjacent to a small metro with town of at least 2,500 residents",MO,139,64,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Mississippi County,29133,483.70000000000000,255.70000000000000,14358,6,"Noncore adjacent to a small metro with town of at least 2,500 residents",MO,83,44,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Moniteau County,29135,398.40000000000000,167.30000000000000,15607,2,Small-in a metro area with fewer than 1 million residents,MO,70,29,0,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Monroe County,29137,424.50000000000000,139.80000000000000,8840,9,"Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",MO,52,19,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Montgomery County,29139,459.10000000000000,182.60000000000000,12236,4,Noncore adjacent to a large metro area,MO,78,32,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Morgan County,29141,439.60000000000000,210.70000000000000,20565,7,"Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",MO,140,70,0,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
New Madrid County,29143,479.40000000000000,231.30000000000000,18956,9,"Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",MO,115,57,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Newton County,29145,384.90000000000000,188.00000000000000,58114,2,Small-in a metro area with fewer than 1 million residents,MO,279,139,0,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Nodaway County,29147,429.30000000000000,174.90000000000000,23370,5,Micropolitan adjacent to a small metro area,MO,101,45,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Oregon County,29149,330.90000000000000,163.10000000000000,10881,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,53,26,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Osage County,29151,413.20000000000000,168.50000000000000,13878,2,Small-in a metro area with fewer than 1 million residents,MO,70,29,0,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Ozark County,29153,341.70000000000000,190.10000000000000,9723,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,53,31,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Pemiscot County,29155,397.70000000000000,233.50000000000000,18296,9,"Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",MO,84,50,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Perry County,29157,435.80000000000000,173.40000000000000,18971,6,"Noncore adjacent to a small metro with town of at least 2,500 residents",MO,103,43,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Pettis County,29159,455.60000000000000,211.10000000000000,42201,3,Micropolitan adjacent to a large metro area,MO,225,107,0,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Phelps County,29161,427.10000000000000,157.20000000000000,45156,8,Micropolitan not adjacent to a metro area,MO,213,80,0,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
Pike County,29163,507.20000000000000,199.00000000000000,18516,4,Noncore adjacent to a large metro area,MO,117,46,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Platte County,29165,422.80000000000000,151.20000000000000,89322,1,Large-in a metro area with at least 1 million residents or more,MO,423,142,0,1,Metro - Counties in metro areas of 1 million population or more
Polk County,29167,404.00000000000000,180.80000000000000,31137,2,Small-in a metro area with fewer than 1 million residents,MO,153,71,0,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Pulaski County,29169,488.40000000000000,205.40000000000000,52274,8,Micropolitan not adjacent to a metro area,MO,175,69,0,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
